row_id,주제,내용,상세내용,주장/검증매체
917,경제,근로장려금 330만원 '이런 사람' 이제부터 못받습니다!!! 근로장려금 자녀장려금,"['신청', '근로장려금', '오늘', '조건', '대한민국', '국적']",내편TV
918,경제,이러면 못 받는다!!! 2022년 새로 바뀐 근로장려금 신청자격/ 신청방법/ 소득요건/ 재산요건/ 신청기간/ 지급일 등,"['신청', '신고', '근로장려금', '때문', '종합소득세', '확정', '하지', '반드시', '기준', '소득', '있습니다', '지난해']",내편TV
919,경제,"2023년 근로장려금 더 준다!! 단독(1인)가구 165만원 맞벌이 가구 330만원 신청자격, 재산기준, 금액 변경!!!","['신청', '기준', '하셔서', '근로장려금', '이런', '오늘', '가구', '금액', '하셔도', '세무서']",내편TV
920,경제,"(👍 2022 최신판) 근로장려금 신청 조건, 소득별 예상 금액, 근로장려금 많이 받는 방법","['자녀', '신청', '소득', '오늘', '저녁', '만약']",따복
921,경제,용인 반도체 고속도로 분석 및 배후신도시 유력 후보 지역 [용인E.06],"['지역', '주변', '개발', '신도시', '입니다', '반도체', '도시', '확장']",땅웨이
922,경제,[구로] 구로구청장선거 후보 확정…정보통신vs도시계획 전문가,"['후보', '입니다', '계획', '있는', '전문가', '재개발', '재건축', '갈등']",딜티 : 딜라이브TV
923,경제,대한국토·도시계획학회 제27대 회장 후보 기호2번 이명훈입니다.,"['하겠습니다', '노력', '위해', '학회', '기회', '회장']",­이명훈
924,경제,[에디터픽] 한국 자영업자들이 무너진다..흔들리는 '마지막 보루' / YTN,"['부분', '영업', '어떤', '하는', '경쟁', '지금']",YTN
925,경제,"""월급 빼고 안 오른게 없어요!"" 자영업자 다 죽어..차등적용"" [뉴스.zip/MBC뉴스]","['최저임금', '차장', '위원', '했습니다', '추천', '정부', '위원회']",MBCNEWS
926,경제,내년 최저임금 25% 인상?...업종별 차등지급 논쟁이 '복병' / YTN,"['최저임금', '올해', '업종', '인상', '입니다', '최근', '적용', '예상']",YTN
927,경제,취업자 증가 '22개월 최소'…늘어난 취업 97%가 60대 이상,"['취업', '입니다', '증가', '감소', '개월', '고용']",뉴스TVCHOSUN
928,경제,"보육교사 일자리 증가? 보육교사 자격증, 저라면 지금 땁니다","['상담', '과정', '교사', '있는', '영상', '취득', '하시는', '링크', '보육', '자격증', '남겨주시면', '클릭', '아래', '문의']",가치있는 시간 l 가시TV
929,경제,"이범석 ""김동연, 경제부총리 타이틀 내세운 채 뻔뻔하게 경기도지사 후보로 나와""","['후보', '김훈', '여러분', '경기도', '입니다', '대장동', '국민']",시사포커스TV
930,경제,2가지 마음가짐이 바꾼 인생 김동연 경기도지사 @KnouTube | 교양 | 아주대학교 | 경제부총리 | 도전 청계천 판자촌,"['축복', '어떤', '문제', '있는', '푸는', '사람', '모습']",방송대 지식+
931,경제,물가 안정→경기 대응…추경호號 경제정책 무게중심 바뀐다 f.권순우 취재팀장 [뉴스3+],"['해서', '영향', '대가', '투자', '그런', '임금']",삼프로TV_경제의신과함께
932,경제,[속보] 민주당 경기지사 후보에 김동연 전 경제부총리 / 연합뉴스TV (YonhapnewsTV),"['후보', '경기', '민주당', '김동현', '지사', '확정', '해서', '조금']",연합뉴스TV
933,경제,[사실확인] 대학축제 주점에서 술 판 대학생 처벌받나,"['주점', '국세청', '학생', '축제', '팔면', '처벌', '학교', '주류', '대학']",MBN News
934,경제,"TEPS, TOEIC, TOEFL 영어 시험 3대장 비교","['시험', '영어', '하고', '가지', '준비', '생각', '이런']",이면서다
