row_id,내용,상세내용,주장/검증매체
20,IAEA 오염수 검증 보고서 왜곡된 내용 나올 수 없는 구조,"['부산시', '한국', '관련', '회장', '개발', '해양', '오염수', '원전', '원자력', '개최', '중국', '영향', '전문가', '방안', '기술', '회의실', '토론회', '공동', '일본', '방류', '중앙회', '논란', '국내', '대응']",부산일보
21,핵폐수방사능 우럭후쿠시마 괴담에 맞서는 과학의 힘 Science in Biz,"['국제', '과학', '의료', '사고', '방사', '영향', '상태', '검사', '일반', '방류', '방사성', '발생', '수소', '존재', '원자로', '자연', '원전', '농도']",매일경제
22,치솟는 실업률에 미래 깜깜 복권가게 달려가는  청년들,"['유행', '관련', '위안', '구매', '분석', '소득', '중국', '기록', '선물', '사이', '동기', '청년', '상반기', '복권', '대비', '판매', '요즘', '통계', '친구', '실업률', '당첨', '역대', '증가']",조선비즈
23,복권 김정수 삼양식품 부회장 글로벌 경영 가속회장 타이틀 달까,"['그룹', '경영', '회사', '회장', '관련', '광복절', '취업', '대표', '횡령', '영업', '제한', '부회장', '올해', '복권', '대비', '사진', '제공', '매출', '이익', '특별', '지난해']",뉴시스
24,복권위원회동행복권 관계자 사칭 피싱 사례 증가소비자 주의 당부,"['동행', '사이트', '개인정보', '위원회', '행복', '기획재정부', '예상', '센터', '복권', '당첨', '환급', '요구', '사례']",부산일보
25,복권은 불황형 상품경제위기 속 올해 복권 판매 7조 전망,"['위기', '결과', '조사', '출시', '뉴시스', '소득', '판매량', '인식', '경기', '이상', '계층', '복권', '대비', '판매', '사업', '매출', '상황', '증가', '지난해']",뉴시스
26,제2의 강남  과천 3기 신도시 인근 주암동 토지매각,"['임야', '예상', '지하철', '개발', '토지', '신도시', '지역', '위치', '일대', '강남', '가치', '과천', '주변', '대규모', '시세', '매각', '기업', '형성', '서초', '입지', '현장', '양재', '필지', '건축', '주거', '인근', '지구']",매일경제
27,대구 군위군 면적 70퍼센트 내년 1월 토지거래허가구역서 해제된다,"['재산권', '군수', '허가', '구역', '대구시', '토지', '침해', '협의', '지정', '거래']",연합뉴스
28,차담차담 조랑말 신화의 뿌리이게 경고야 감탄이야,"['모델', '대통령', '산업', '인천', '국산', '일부', '나라', '작업', '시작', '해방', '자동차', '지금', '미군', '택시', '인수', '김영삼', '공장', '디자인', '버스', '성능', '형제', '포드', '재생', '일본', '정부', '일제', '제작', '운영', '사진', '트럭', '엔진', '부터', '생산', '초기', '차량', '부품']",TV조선
29,제4회 전자신문 캐드경진대회디지털설계 우수 인력 등용문으로 우뚝,"['위원', '심사', '한국', '대상', '산업', '인재', '온라인', '기술', '수상자', '설계', '대학', '설루션', '참가자', '양성', '학생', '전자신문', '대회', '참가', '고등학교']",전자신문
30,허훈 서울시의원 낯 뜨거운 불법 전단 뿌리 뽑는다,"['개정', '단속', '의원', '불법', '서울시', '민원', '정비', '근절', '신고', '접수', '자치구', '증가', '적극', '조례']",서울신문
31,모자이크 코리아 폐교위기 지방대를 외국인 전문학교로조선건설인력 양성,"['지적', '인력', '취업', '뿌리', '외국인', '산업', '일부', '목소리', '소득', '제한', '고용', '기준', '예산', '기자', '기간', '비자', '방안', '사회', '중소기업', '정책', '기업', '전문', '자산', '영주권', '수준', '확대', '불법', '유학생', '업종', '이민', '경우', '지방', '대학', '이민자', '국내', '기금', '전환']",매일경제
32,단독 사람 더 뽑아야겠어요일감 3배 모처럼 활기띤 원전산업,"['계약', '상반기', '협력', '금액', '추진', '국내', '규모', '업체', '건설', '정부', '산업', '문재인', '원전', '증가', '올해', '정책']",매일경제
33,불법쟁의행위 따른 손해는 누가 어떻게 배상해야 하나,"['설명', '조합원', '노동조합', '금지', '구체', '가해자', '행위', '손해', '근거', '인정', '쟁의', '이유', '배상', '입법', '판단', '제한', '개별', '손해배상', '피해자', '법인', '적용', '사용자', '청구', '봉투', '의무', '기업', '공동', '부담', '판결', '발생', '불법', '경우', '책임', '기존', '판례', '정도', '필요', '상황', '사건', '대법원', '범위', '금액', '개정안']",한국경제
34,산재 단체교섭거부 손해배상청구 핫한 노동이슈 법리대결,"['심사', '노동조합', '한국', '기념관', '행위', '평가', '상금', '예비', '손해', '구성', '쟁의', '노동자', '제철', '개최', '봉투', '위원장', '책임', '교수', '사업', '참가자', '시민', '대회', '참가', '하청']",오마이뉴스
35,주가조작 대응 더 세진다김소영 3분기 대책 발표,"['제재', '불공정', '서울', '부위', '산정', '과징금', '주가조작', '금융', '대응', '경우', '부당이득', '원장', '개정안', '기자간담회', '거래']",이데일리
36,검찰 주가조작 몸통 라덕연 대표 회사 실무진 3명 기소,"['주가조작', '업체', '덕연', '대표', '매매', '은닉', '투자자', '고객', '관리', '자본시장', '주가', '가담', '위반', '범죄', '혐의', '증권', '규제', '수익', '구속']",뉴스1
37,주가조작 혐의 라덕연 제보자가 협박해 20억 빼앗겨,"['사태', '시행', '협박', '서울', '혐의', '회장', '증권', '상대로', '소장', '주가조작', '금융', '대표', '제기', '제보', '제도', '가담', '시세', '조종']",아시아경제
38,시민단체 전세사기 피해 지원 기준 공개해야,"['위원회', '전세', '지적', '서울', '기준', '대책', '지원', '깡통', '사기', '피해자', '인정', '정부', '회의', '기자회견', '세부', '결정', '심의']",더팩트
39,아르헨 대통령 되면 중앙은행 없앨 것,"['중앙은행', '공식', '통화', '라며', '계획', '개혁', '공약', '의원', '재정', '대통령', '아르헨티나']",한국경제
